Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC,Normalized_IPC
baseline,602.gcc_s-2226B,0,0,0.0,3503147,1361,3504508,0.0,0.108044,1.0
baseline,623.xalancbmk_s-202B,0,0,0.0,1257479,0,1257479,0.0,0.488158,1.0
baseline,649.fotonik3d_s-1176B,0,0,0.0,660913,763,661676,0.0,0.607421,1.0
baseline,654.roms_s-1390B,0,0,0.0,1261778,498465,1760243,0.0,0.345583,1.0
s2_nextline,602.gcc_s-2226B,671478,8226480,0.081624,2832737,21,2832758,0.191619,0.20132,1.8633149457628373
s2_nextline,623.xalancbmk_s-202B,380197,7106822,0.053497,877203,0,877203,0.302368,0.73929,1.514448190954568
s2_nextline,649.fotonik3d_s-1176B,311541,7235548,0.043057,349371,654,350025,0.470914,1.05378,1.734842884918368
s2_nextline,654.roms_s-1390B,570931,9064892,0.062983,677959,498452,1176411,0.326743,0.583463,1.688344044701273
s3_stride_2048,602.gcc_s-2226B,750335,3167893,0.236856,2752915,1222,2754137,0.214108,0.187308,1.7336270408352152
s3_stride_2048,623.xalancbmk_s-202B,906575,1767881,0.512803,350904,0,350904,0.720946,1.14006,2.3354323804997565
s3_stride_2048,649.fotonik3d_s-1176B,284383,1002664,0.283627,376529,763,377292,0.429793,0.89372,1.47133536706831
s3_stride_2048,654.roms_s-1390B,554250,1482277,0.373918,693028,498464,1191492,0.317487,0.571082,1.6525176296287722
s4_PD5,602.gcc_s-2226B,2102730,15312129,0.137324,1400703,1163,1401866,0.599992,0.423575,3.920393543371219
s4_PD5,623.xalancbmk_s-202B,1054830,5852191,0.180245,202686,0,202686,0.83882,1.12228,2.2990097468442596
s4_PD5,649.fotonik3d_s-1176B,549025,4541812,0.120882,111887,763,112650,0.82975,1.69826,2.795853287917277
s4_PD5,654.roms_s-1390B,943925,5474829,0.172412,307755,498469,806224,0.53934,0.764133,2.21114175176441
s5_cplxstride_avalanche,602.gcc_s-2226B,1618892,4738132,0.341673,1884821,739,1885560,0.461953,0.211298,1.9556662100625672
s5_cplxstride_avalanche,623.xalancbmk_s-202B,920238,2098909,0.438436,337243,0,337243,0.731811,1.16611,2.3887962503943396
s5_cplxstride_avalanche,649.fotonik3d_s-1176B,390302,1557119,0.250657,270611,763,271374,0.589869,1.05086,1.7300356754211657
s5_cplxstride_avalanche,654.roms_s-1390B,572588,1573791,0.363827,674690,498465,1173155,0.327991,0.579137,1.675826067833198
s6_cplxstride_pd3_avalanche,602.gcc_s-2226B,2312981,12987509,0.178093,1191391,692,1192083,0.659897,0.358193,3.3152511939580167
s6_cplxstride_pd3_avalanche,623.xalancbmk_s-202B,1101935,5403951,0.203913,155546,0,155546,0.876303,1.22127,2.5017924524436763
s6_cplxstride_pd3_avalanche,649.fotonik3d_s-1176B,544119,4406330,0.123486,116793,763,117556,0.822336,1.67239,2.7532633873376127
s6_cplxstride_pd3_avalanche,654.roms_s-1390B,841084,4115356,0.204377,403373,498467,901840,0.482571,0.740126,2.141673635566564
s7_cplxstride_confcnt_pd3_avalanche,602.gcc_s-2226B,2331078,13110406,0.177804,1172522,771,1173293,0.665192,0.36516,3.3797341823701452
s7_cplxstride_confcnt_pd3_avalanche,623.xalancbmk_s-202B,1108570,5446419,0.203541,148910,0,148910,0.881581,1.23224,2.524264684794677
s7_cplxstride_confcnt_pd3_avalanche,649.fotonik3d_s-1176B,453160,3817436,0.118708,207752,763,208515,0.684868,1.4605,2.4044279009122174
s7_cplxstride_confcnt_pd3_avalanche,654.roms_s-1390B,841928,4232500,0.19892,399941,498468,898409,0.483773,0.759331,2.1972463923283265
