Prefetcher,Application,Prefetch_hits,Prefetch_issued,Accuracy,L1D_LOAD_MISS,L1D_RFO_MISS,Demand_misses,Coverage,IPC,Normalized_IPC
baseline,602.gcc_s-2226B,0,0,0.0,3503147,1361,3504508,0.0,0.108044,1.0
baseline,623.xalancbmk_s-202B,0,0,0.0,1257479,0,1257479,0.0,0.488158,1.0
baseline,649.fotonik3d_s-1176B,0,0,0.0,660913,763,661676,0.0,0.607421,1.0
baseline,654.roms_s-1390B,0,0,0.0,1261778,498465,1760243,0.0,0.345583,1.0
compute_cspt_index,602.gcc_s-2226B,1525397,4761962,0.32033,1978240,672,1978912,0.435292,0.210323,1.946642108770501
compute_cspt_index,623.xalancbmk_s-202B,918052,2098097,0.437564,339427,0,339427,0.730073,1.16318,2.3827940953543734
compute_cspt_index,649.fotonik3d_s-1176B,385292,1559772,0.247018,275620,763,276383,0.582298,1.05557,1.7377897701923377
compute_cspt_index,654.roms_s-1390B,565713,1570981,0.360102,681205,498468,1179673,0.324119,0.580983,1.6811677657755157
compute_cspt_index_avalanche,602.gcc_s-2226B,1618892,4738132,0.341673,1884821,739,1885560,0.461953,0.211298,1.9556662100625672
compute_cspt_index_avalanche,623.xalancbmk_s-202B,920238,2098909,0.438436,337243,0,337243,0.731811,1.16611,2.3887962503943396
compute_cspt_index_avalanche,649.fotonik3d_s-1176B,390302,1557119,0.250657,270611,763,271374,0.589869,1.05086,1.7300356754211657
compute_cspt_index_avalanche,654.roms_s-1390B,572588,1573791,0.363827,674690,498465,1173155,0.327991,0.579137,1.675826067833198
